County Name,Population,countyFIPS
Statewide Unallocated,0,0
Autauga ,55869,1001
Baldwin ,223234,1003
Barbour ,24686,1005
Bibb ,22394,1007
Blount ,57826,1009
Bullock ,10101,1011
Butler ,19448,1013
Calhoun ,113605,1015
Chambers ,33254,1017
Cherokee ,26196,1019
Chilton ,44428,1021
Choctaw ,12589,1023
Clarke ,23622,1025
Clay ,13235,1027
Cleburne ,14910,1029
Coffee ,52342,1031
Colbert ,55241,1033
Conecuh ,12067,1035
Coosa ,10663,1037
Covington ,37049,1039
Crenshaw ,13772,1041
Cullman ,83768,1043
Dale ,49172,1045
Dallas ,37196,1047
DeKalb ,71513,1049
Elmore ,81209,1051
Escambia ,36633,1053
Etowah ,102268,1055
Fayette ,16302,1057
Franklin ,31362,1059
Geneva ,26271,1061
Greene ,8111,1063
Hale ,14651,1065
Henry ,17205,1067
Houston ,105882,1069
Jackson ,51626,1071
Jefferson ,658573,1073
Lamar ,13805,1075
Lauderdale ,92729,1077
Lawrence ,32924,1079
Lee ,164542,1081
Limestone ,98915,1083
Lowndes ,9726,1085
Macon ,18068,1087
Madison ,372909,1089
Marengo ,18863,1091
Marion ,29709,1093
Marshall ,96774,1095
Mobile ,413210,1097
Monroe ,20733,1099
Montgomery ,226486,1101
Morgan ,119679,1103
Perry ,8923,1105
Pickens ,19930,1107
Pike ,33114,1109
Randolph ,22722,1111
Russell ,57961,1113
St,89512,1115
Shelby ,217702,1117
Sumter ,12427,1119
Talladega ,79978,1121
Tallapoosa ,40367,1123
Tuscaloosa ,209355,1125
Walker ,63521,1127
Washington ,16326,1129
Wilcox ,10373,1131
Winston ,23629,1133
Aleutians East Borough,3337,2013
Aleutians West Census Area,5634,2016
Anchorage Municipality,288000,2020
Bethel Census Area,18386,2050
Bristol Bay Borough,836,2060
Denali Borough,2097,2068
Dillingham Census Area,4916,2070
Fairbanks North Star Borough,96849,2090
Haines Borough,2530,2100
Hoonah-Angoon Census Area,2148,2105
Juneau City and Borough,31974,2110
Kenai Peninsula Borough,58708,2122
Ketchikan Gateway Borough,13901,2130
Kodiak Island Borough,12998,2150
Kusilvak Census Area,8314,2158
Lake and Peninsula Borough,1592,2164
Matanuska-Susitna Borough,108317,2170
Nome Census Area,10004,2180
North Slope Borough,9832,2185
Northwest Arctic Borough,7621,2188
Petersburg Borough,3266,2195
Prince of Wales-Hyder Census Area,6203,2198
Sitka City and Borough,8493,2220
Skagway Municipality,1183,2230
Southeast Fairbanks Census Area,6893,2240
Valdez-Cordova Census Area,9202,2261
Wrangell City and Borough,2502,2275
Yakutat City and Borough,579,2282
Yukon-Koyukuk Census Area,5230,2290
Apache ,71887,4001
Cochise ,125922,4003
Coconino ,143476,4005
Gila ,54018,4007
Graham ,38837,4009
Greenlee ,9498,4011
La Paz ,21108,4012
Maricopa ,4485414,4013
Mohave ,212181,4015
Navajo ,110924,4017
Pima ,1047279,4019
Pinal ,462789,4021
Santa Cruz ,46498,4023
Yavapai ,235099,4025
Yuma ,213787,4027
Arkansas ,17486,5001
Ashley ,19657,5003
Baxter ,41932,5005
Benton ,279141,5007
Boone ,37432,5009
Bradley ,10763,5011
Calhoun ,5189,5013
Carroll ,28380,5015
Chicot ,10118,5017
Clark ,22320,5019
Clay ,14551,5021
Cleburne ,24919,5023
Cleveland ,7956,5025
Columbia ,23457,5027
Conway ,20846,5029
Craighead ,110332,5031
Crawford ,63257,5033
Crittenden ,47955,5035
Cross ,16419,5037
Dallas ,7009,5039
Desha ,11361,5041
Drew ,18219,5043
Faulkner ,126007,5045
Franklin ,17715,5047
Fulton ,12477,5049
Garland ,99386,5051
Grant ,18265,5053
Greene ,45325,5055
Hempstead ,21532,5057
Hot Spring ,33771,5059
Howard ,13202,5061
Independence ,37825,5063
Izard ,13629,5065
Jackson ,16719,5067
Jefferson ,66824,5069
Johnson ,26578,5071
Lafayette ,6624,5073
Lawrence ,16406,5075
Lee ,8857,5077
Lincoln ,13024,5079
Little River ,12259,5081
Logan ,21466,5083
Lonoke ,73309,5085
Madison ,16576,5087
Marion ,16694,5089
Miller ,43257,5091
Mississippi ,40651,5093
Monroe ,6701,5095
Montgomery ,8986,5097
Nevada ,8252,5099
Newton ,7753,5101
Ouachita ,23382,5103
Perry ,10455,5105
Phillips ,17782,5107
Pike ,10718,5109
Poinsett ,23528,5111
Polk ,19964,5113
Pope ,64072,5115
Prairie ,8062,5117
Pulaski ,391911,5119
Randolph ,17958,5121
St,24994,5123
Saline ,122437,5125
Scott ,10281,5127
