Date,State,StateABV,stateFIPS,Total Cases,Total Deaths,Population,New Cases,New Deaths,%Cases,%Deaths,log(Total Cases),log(Total Deaths),log(New Cases),log(New Deaths)
2020-03-13,Alabama,AL,1,6,0,4903185.0,0,0,0.0,0.0,1.792,-inf,-inf,-inf
2020-03-14,Alabama,AL,1,12,0,4903185.0,6,0,0.0,0.0,2.485,-inf,1.792,-inf
2020-03-15,Alabama,AL,1,23,0,4903185.0,11,0,0.0,0.0,3.135,-inf,2.398,-inf
2020-03-16,Alabama,AL,1,29,0,4903185.0,6,0,0.001,0.0,3.367,-inf,1.792,-inf
2020-03-17,Alabama,AL,1,39,0,4903185.0,10,0,0.001,0.0,3.664,-inf,2.303,-inf
2020-03-18,Alabama,AL,1,51,0,4903185.0,12,0,0.001,0.0,3.932,-inf,2.485,-inf
2020-03-19,Alabama,AL,1,78,0,4903185.0,27,0,0.002,0.0,4.357,-inf,3.296,-inf
2020-03-20,Alabama,AL,1,106,0,4903185.0,28,0,0.002,0.0,4.663,-inf,3.332,-inf
2020-03-21,Alabama,AL,1,131,0,4903185.0,25,0,0.003,0.0,4.875,-inf,3.219,-inf
2020-03-22,Alabama,AL,1,157,0,4903185.0,26,0,0.003,0.0,5.056,-inf,3.258,-inf
2020-03-23,Alabama,AL,1,196,0,4903185.0,39,0,0.004,0.0,5.278,-inf,3.664,-inf
2020-03-24,Alabama,AL,1,242,0,4903185.0,46,0,0.005,0.0,5.489,-inf,3.829,-inf
2020-03-25,Alabama,AL,1,386,1,4903185.0,144,1,0.008,0.0,5.956,0.0,4.97,0.0
2020-03-26,Alabama,AL,1,538,3,4903185.0,152,2,0.011,0.0,6.288,1.099,5.024,0.693
2020-03-27,Alabama,AL,1,639,4,4903185.0,101,1,0.013,0.0,6.46,1.386,4.615,0.0
2020-03-28,Alabama,AL,1,720,4,4903185.0,81,0,0.015,0.0,6.579,1.386,4.394,-inf
2020-03-29,Alabama,AL,1,830,5,4903185.0,110,1,0.017,0.0,6.721,1.609,4.7,0.0
2020-03-30,Alabama,AL,1,947,11,4903185.0,117,6,0.019,0.0,6.853,2.398,4.762,1.792
2020-03-31,Alabama,AL,1,999,14,4903185.0,52,3,0.02,0.0,6.907,2.639,3.951,1.099
2020-04-01,Alabama,AL,1,1108,28,4903185.0,109,14,0.023,0.001,7.01,3.332,4.691,2.639
2020-04-02,Alabama,AL,1,1270,32,4903185.0,162,4,0.026,0.001,7.147,3.466,5.088,1.386
2020-04-03,Alabama,AL,1,1535,38,4903185.0,265,6,0.031,0.001,7.336,3.638,5.58,1.792
2020-04-04,Alabama,AL,1,1632,44,4903185.0,97,6,0.033,0.001,7.398,3.784,4.575,1.792
2020-04-05,Alabama,AL,1,1840,45,4903185.0,208,1,0.038,0.001,7.518,3.807,5.338,0.0
2020-04-06,Alabama,AL,1,2005,53,4903185.0,165,8,0.041,0.001,7.603,3.97,5.106,2.079
2020-04-07,Alabama,AL,1,2197,64,4903185.0,192,11,0.045,0.001,7.695,4.159,5.257,2.398
2020-04-08,Alabama,AL,1,2498,67,4903185.0,301,3,0.051,0.001,7.823,4.205,5.707,1.099
2020-04-09,Alabama,AL,1,2838,78,4903185.0,340,11,0.058,0.002,7.951,4.357,5.829,2.398
2020-04-10,Alabama,AL,1,3008,80,4903185.0,170,2,0.061,0.002,8.009,4.382,5.136,0.693
2020-04-11,Alabama,AL,1,3262,93,4903185.0,254,13,0.067,0.002,8.09,4.533,5.537,2.565
2020-04-12,Alabama,AL,1,3583,93,4903185.0,321,0,0.073,0.002,8.184,4.533,5.771,-inf
2020-04-13,Alabama,AL,1,3805,104,4903185.0,222,11,0.078,0.002,8.244,4.644,5.403,2.398
2020-04-14,Alabama,AL,1,3953,114,4903185.0,148,10,0.081,0.002,8.282,4.736,4.997,2.303
2020-04-15,Alabama,AL,1,4241,123,4903185.0,288,9,0.086,0.003,8.353,4.812,5.663,2.197
2020-04-16,Alabama,AL,1,4404,137,4903185.0,163,14,0.09,0.003,8.39,4.92,5.094,2.639
2020-04-17,Alabama,AL,1,4572,151,4903185.0,168,14,0.093,0.003,8.428,5.017,5.124,2.639
2020-04-18,Alabama,AL,1,4723,147,4903185.0,151,-4,0.096,0.003,8.46,4.99,5.017,
2020-04-19,Alabama,AL,1,4903,160,4903185.0,180,13,0.1,0.003,8.498,5.075,5.193,2.565
2020-04-20,Alabama,AL,1,5078,164,4903185.0,175,4,0.104,0.003,8.533,5.1,5.165,1.386
2020-04-21,Alabama,AL,1,5327,186,4903185.0,249,22,0.109,0.004,8.581,5.226,5.517,3.091
2020-04-22,Alabama,AL,1,5610,201,4903185.0,283,15,0.114,0.004,8.632,5.303,5.645,2.708
2020-04-23,Alabama,AL,1,5832,197,4903185.0,222,-4,0.119,0.004,8.671,5.283,5.403,
2020-04-24,Alabama,AL,1,6026,209,4903185.0,194,12,0.123,0.004,8.704,5.342,5.268,2.485
2020-04-25,Alabama,AL,1,6213,213,4903185.0,187,4,0.127,0.004,8.734,5.361,5.231,1.386
2020-04-26,Alabama,AL,1,6421,219,4903185.0,208,6,0.131,0.004,8.767,5.389,5.338,1.792
2020-04-27,Alabama,AL,1,6539,228,4903185.0,118,9,0.133,0.005,8.786,5.429,4.771,2.197
2020-04-28,Alabama,AL,1,6750,242,4903185.0,211,14,0.138,0.005,8.817,5.489,5.352,2.639
2020-04-29,Alabama,AL,1,6925,262,4903185.0,175,20,0.141,0.005,8.843,5.568,5.165,2.996
2020-04-30,Alabama,AL,1,7068,272,4903185.0,143,10,0.144,0.006,8.863,5.606,4.963,2.303
2020-05-01,Alabama,AL,1,7294,289,4903185.0,226,17,0.149,0.006,8.895,5.666,5.421,2.833
2020-05-02,Alabama,AL,1,7611,288,4903185.0,317,-1,0.155,0.006,8.937,5.663,5.759,
2020-05-03,Alabama,AL,1,7888,290,4903185.0,277,2,0.161,0.006,8.973,5.67,5.624,0.693
2020-05-04,Alabama,AL,1,8112,298,4903185.0,224,8,0.165,0.006,9.001,5.697,5.412,2.079
2020-05-05,Alabama,AL,1,8437,315,4903185.0,325,17,0.172,0.006,9.04,5.753,5.784,2.833
2020-05-06,Alabama,AL,1,8691,343,4903185.0,254,28,0.177,0.007,9.07,5.838,5.537,3.332
2020-05-07,Alabama,AL,1,9046,369,4903185.0,355,26,0.184,0.008,9.11,5.911,5.872,3.258
2020-05-08,Alabama,AL,1,9385,383,4903185.0,339,14,0.191,0.008,9.147,5.948,5.826,2.639
2020-05-09,Alabama,AL,1,9668,390,4903185.0,283,7,0.197,0.008,9.177,5.966,5.645,1.946
2020-05-10,Alabama,AL,1,9889,393,4903185.0,221,3,0.202,0.008,9.199,5.974,5.398,1.099
2020-05-11,Alabama,AL,1,10164,403,4903185.0,275,10,0.207,0.008,9.227,5.999,5.617,2.303
2020-05-12,Alabama,AL,1,10464,435,4903185.0,300,32,0.213,0.009,9.256,6.075,5.704,3.466
2020-05-13,Alabama,AL,1,10700,450,4903185.0,236,15,0.218,0.009,9.278,6.109,5.464,2.708
2020-05-14,Alabama,AL,1,11101,473,4903185.0,401,23,0.226,0.01,9.315,6.159,5.994,3.135
2020-05-15,Alabama,AL,1,11373,483,4903185.0,272,10,0.232,0.01,9.339,6.18,5.606,2.303
2020-05-16,Alabama,AL,1,11674,485,4903185.0,301,2,0.238,0.01,9.365,6.184,5.707,0.693
2020-05-17,Alabama,AL,1,11771,488,4903185.0,97,3,0.24,0.01,9.373,6.19,4.575,1.099
2020-05-18,Alabama,AL,1,12086,489,4903185.0,315,1,0.246,0.01,9.4,6.192,5.753,0.0
2020-05-19,Alabama,AL,1,12376,504,4903185.0,290,15,0.252,0.01,9.424,6.223,5.67,2.708
2020-05-20,Alabama,AL,1,13052,522,4903185.0,676,18,0.266,0.011,9.477,6.258,6.516,2.89
2020-05-21,Alabama,AL,1,13414,529,4903185.0,362,7,0.274,0.011,9.504,6.271,5.892,1.946
2020-05-22,Alabama,AL,1,13670,541,4903185.0,256,12,0.279,0.011,9.523,6.293,5.545,2.485
2020-05-23,Alabama,AL,1,14149,549,4903185.0,479,8,0.289,0.011,9.557,6.308,6.172,2.079
2020-05-24,Alabama,AL,1,14478,551,4903185.0,329,2,0.295,0.011,9.58,6.312,5.796,0.693
2020-05-25,Alabama,AL,1,14986,566,4903185.0,508,15,0.306,0.012,9.615,6.339,6.23,2.708
2020-05-26,Alabama,AL,1,15650,580,4903185.0,664,14,0.319,0.012,9.658,6.363,6.498,2.639
2020-05-27,Alabama,AL,1,16032,583,4903185.0,382,3,0.327,0.012,9.682,6.368,5.945,1.099
2020-05-28,Alabama,AL,1,16530,591,4903185.0,498,8,0.337,0.012,9.713,6.382,6.211,2.079
2020-05-29,Alabama,AL,1,17031,610,4903185.0,501,19,0.347,0.012,9.743,6.413,6.217,2.944
2020-05-30,Alabama,AL,1,17359,618,4903185.0,328,8,0.354,0.013,9.762,6.426,5.793,2.079
2020-05-31,Alabama,AL,1,17952,630,4903185.0,593,12,0.366,0.013,9.795,6.446,6.385,2.485
2020-06-01,Alabama,AL,1,18534,646,4903185.0,582,16,0.378,0.013,9.827,6.471,6.366,2.773
2020-06-02,Alabama,AL,1,18771,653,4903185.0,237,7,0.383,0.013,9.84,6.482,5.468,1.946
2020-06-03,Alabama,AL,1,18851,653,4903185.0,80,0,0.384,0.013,9.844,6.482,4.382,-inf
2020-06-04,Alabama,AL,1,19072,653,4903185.0,221,0,0.389,0.013,9.856,6.482,5.398,-inf
2020-06-05,Alabama,AL,1,19387,676,4903185.0,315,23,0.395,0.014,9.872,6.516,5.753,3.135
2020-06-06,Alabama,AL,1,20043,689,4903185.0,656,13,0.409,0.014,9.906,6.535,6.486,2.565
2020-06-07,Alabama,AL,1,20500,692,4903185.0,457,3,0.418,0.014,9.928,6.54,6.125,1.099
2020-06-08,Alabama,AL,1,20925,718,4903185.0,425,26,0.427,0.015,9.949,6.576,6.052,3.258
2020-06-09,Alabama,AL,1,21422,729,4903185.0,497,11,0.437,0.015,9.972,6.592,6.209,2.398
2020-06-10,Alabama,AL,1,21989,744,4903185.0,567,15,0.448,0.015,9.998,6.612,6.34,2.708
2020-06-11,Alabama,AL,1,22845,755,4903185.0,856,11,0.466,0.015,10.036,6.627,6.752,2.398
2020-06-12,Alabama,AL,1,23710,769,4903185.0,865,14,0.484,0.016,10.074,6.645,6.763,2.639
2020-06-13,Alabama,AL,1,24601,773,4903185.0,891,4,0.502,0.016,10.111,6.65,6.792,1.386
2020-06-14,Alabama,AL,1,25615,773,4903185.0,1014,0,0.522,0.016,10.151,6.65,6.922,-inf
2020-06-15,Alabama,AL,1,26272,774,4903185.0,657,1,0.536,0.016,10.176,6.652,6.488,0.0
2020-06-16,Alabama,AL,1,26912,785,4903185.0,640,11,0.549,0.016,10.2,6.666,6.461,2.398
2020-06-17,Alabama,AL,1,27312,790,4903185.0,400,5,0.557,0.016,10.215,6.672,5.991,1.609
2020-06-18,Alabama,AL,1,28206,810,4903185.0,894,20,0.575,0.017,10.247,6.697,6.796,2.996
2020-06-19,Alabama,AL,1,29002,822,4903185.0,796,12,0.591,0.017,10.275,6.712,6.68,2.485
2020-06-20,Alabama,AL,1,29549,838,4903185.0,547,16,0.603,0.017,10.294,6.731,6.304,2.773
2020-06-21,Alabama,AL,1,30021,839,4903185.0,472,1,0.612,0.017,10.31,6.732,6.157,0.0
2020-06-22,Alabama,AL,1,30454,841,4903185.0,433,2,0.621,0.017,10.324,6.735,6.071,0.693
2020-06-23,Alabama,AL,1,31097,864,4903185.0,643,23,0.634,0.018,10.345,6.762,6.466,3.135
2020-06-24,Alabama,AL,1,32064,891,4903185.0,967,27,0.654,0.018,10.375,6.792,6.874,3.296
2020-06-25,Alabama,AL,1,33206,896,4903185.0,1142,5,0.677,0.018,10.41,6.798,7.041,1.609
2020-06-26,Alabama,AL,1,34183,907,4903185.0,977,11,0.697,0.018,10.439,6.81,6.884,2.398
2020-06-27,Alabama,AL,1,35083,919,4903185.0,900,12,0.716,0.019,10.465,6.823,6.802,2.485
2020-06-28,Alabama,AL,1,35441,919,4903185.0,358,0,0.723,0.019,10.476,6.823,5.881,-inf
2020-06-29,Alabama,AL,1,37175,929,4903185.0,1734,10,0.758,0.019,10.523,6.834,7.458,2.303
2020-06-30,Alabama,AL,1,38045,950,4903185.0,870,21,0.776,0.019,10.547,6.856,6.768,3.045
2020-07-01,Alabama,AL,1,38962,972,4903185.0,917,22,0.795,0.02,10.57,6.879,6.821,3.091
2020-07-02,Alabama,AL,1,40111,985,4903185.0,1149,13,0.818,0.02,10.599,6.893,7.047,2.565
2020-07-03,Alabama,AL,1,41865,1006,4903185.0,1754,21,0.854,0.021,10.642,6.914,7.47,3.045
