Country,Date,Total Cases,Total Deaths,Population,New Cases,New Deaths,%Cases,%Deaths,log(Total Cases),log(Total Deaths),log(New Cases),log(New Deaths)
United States,2020-01-21,1,0,328239523,0,0,0.0,0.0,0.0,-inf,-inf,-inf
United States,2020-01-22,1,0,328239523,0,0,0.0,0.0,0.0,-inf,-inf,-inf
United States,2020-01-23,1,0,328239523,0,0,0.0,0.0,0.0,-inf,-inf,-inf
United States,2020-01-24,2,0,328239523,1,0,0.0,0.0,0.693,-inf,0.0,-inf
United States,2020-01-25,3,0,328239523,1,0,0.0,0.0,1.099,-inf,0.0,-inf
United States,2020-01-26,5,0,328239523,2,0,0.0,0.0,1.609,-inf,0.693,-inf
United States,2020-01-27,5,0,328239523,0,0,0.0,0.0,1.609,-inf,-inf,-inf
United States,2020-01-28,5,0,328239523,0,0,0.0,0.0,1.609,-inf,-inf,-inf
United States,2020-01-29,5,0,328239523,0,0,0.0,0.0,1.609,-inf,-inf,-inf
United States,2020-01-30,6,0,328239523,1,0,0.0,0.0,1.792,-inf,0.0,-inf
United States,2020-01-31,7,0,328239523,1,0,0.0,0.0,1.946,-inf,0.0,-inf
United States,2020-02-01,8,0,328239523,1,0,0.0,0.0,2.079,-inf,0.0,-inf
United States,2020-02-02,11,0,328239523,3,0,0.0,0.0,2.398,-inf,1.099,-inf
United States,2020-02-03,11,0,328239523,0,0,0.0,0.0,2.398,-inf,-inf,-inf
United States,2020-02-04,11,0,328239523,0,0,0.0,0.0,2.398,-inf,-inf,-inf
United States,2020-02-05,12,0,328239523,1,0,0.0,0.0,2.485,-inf,0.0,-inf
United States,2020-02-06,12,0,328239523,0,0,0.0,0.0,2.485,-inf,-inf,-inf
United States,2020-02-07,12,0,328239523,0,0,0.0,0.0,2.485,-inf,-inf,-inf
United States,2020-02-08,12,0,328239523,0,0,0.0,0.0,2.485,-inf,-inf,-inf
United States,2020-02-09,12,0,328239523,0,0,0.0,0.0,2.485,-inf,-inf,-inf
United States,2020-02-10,13,0,328239523,1,0,0.0,0.0,2.565,-inf,0.0,-inf
United States,2020-02-11,13,0,328239523,0,0,0.0,0.0,2.565,-inf,-inf,-inf
United States,2020-02-12,14,0,328239523,1,0,0.0,0.0,2.639,-inf,0.0,-inf
United States,2020-02-13,15,0,328239523,1,0,0.0,0.0,2.708,-inf,0.0,-inf
United States,2020-02-14,15,0,328239523,0,0,0.0,0.0,2.708,-inf,-inf,-inf
United States,2020-02-15,15,0,328239523,0,0,0.0,0.0,2.708,-inf,-inf,-inf
United States,2020-02-16,15,0,328239523,0,0,0.0,0.0,2.708,-inf,-inf,-inf
United States,2020-02-17,25,0,328239523,10,0,0.0,0.0,3.219,-inf,2.303,-inf
United States,2020-02-18,25,0,328239523,0,0,0.0,0.0,3.219,-inf,-inf,-inf
United States,2020-02-19,25,0,328239523,0,0,0.0,0.0,3.219,-inf,-inf,-inf
United States,2020-02-20,27,0,328239523,2,0,0.0,0.0,3.296,-inf,0.693,-inf
United States,2020-02-21,30,0,328239523,3,0,0.0,0.0,3.401,-inf,1.099,-inf
United States,2020-02-22,30,0,328239523,0,0,0.0,0.0,3.401,-inf,-inf,-inf
United States,2020-02-23,30,0,328239523,0,0,0.0,0.0,3.401,-inf,-inf,-inf
United States,2020-02-24,43,0,328239523,13,0,0.0,0.0,3.761,-inf,2.565,-inf
United States,2020-02-25,45,0,328239523,2,0,0.0,0.0,3.807,-inf,0.693,-inf
United States,2020-02-26,60,0,328239523,15,0,0.0,0.0,4.094,-inf,2.708,-inf
United States,2020-02-27,60,0,328239523,0,0,0.0,0.0,4.094,-inf,-inf,-inf
United States,2020-02-28,65,0,328239523,5,0,0.0,0.0,4.174,-inf,1.609,-inf
United States,2020-02-29,70,1,328239523,5,1,0.0,0.0,4.248,0.0,1.609,0.0
United States,2020-03-01,88,3,328239523,18,2,0.0,0.0,4.477,1.099,2.89,0.693
United States,2020-03-02,104,6,328239523,16,3,0.0,0.0,4.644,1.792,2.773,1.099
United States,2020-03-03,125,10,328239523,21,4,0.0,0.0,4.828,2.303,3.045,1.386
United States,2020-03-04,161,12,328239523,36,2,0.0,0.0,5.081,2.485,3.584,0.693
United States,2020-03-05,228,12,328239523,67,0,0.0,0.0,5.429,2.485,4.205,-inf
United States,2020-03-06,311,15,328239523,83,3,0.0,0.0,5.74,2.708,4.419,1.099
United States,2020-03-07,428,19,328239523,117,4,0.0,0.0,6.059,2.944,4.762,1.386
United States,2020-03-08,547,22,328239523,119,3,0.0,0.0,6.304,3.091,4.779,1.099
United States,2020-03-09,748,26,328239523,201,4,0.0,0.0,6.617,3.258,5.303,1.386
United States,2020-03-10,1018,31,328239523,270,5,0.0,0.0,6.926,3.434,5.598,1.609
United States,2020-03-11,1263,37,328239523,245,6,0.0,0.0,7.141,3.611,5.501,1.792
United States,2020-03-12,1668,43,328239523,405,6,0.001,0.0,7.419,3.761,6.004,1.792
United States,2020-03-13,2224,50,328239523,556,7,0.001,0.0,7.707,3.912,6.321,1.946
United States,2020-03-14,2898,60,328239523,674,10,0.001,0.0,7.972,4.094,6.513,2.303
United States,2020-03-15,3600,68,328239523,702,8,0.001,0.0,8.189,4.22,6.554,2.079
United States,2020-03-16,4507,91,328239523,907,23,0.001,0.0,8.413,4.511,6.81,3.135
United States,2020-03-17,5906,117,328239523,1399,26,0.002,0.0,8.684,4.762,7.244,3.258
United States,2020-03-18,8350,162,328239523,2444,45,0.003,0.0,9.03,5.088,7.801,3.807
United States,2020-03-19,12393,212,328239523,4043,50,0.004,0.0,9.425,5.357,8.305,3.912
United States,2020-03-20,18012,277,328239523,5619,65,0.005,0.0,9.799,5.624,8.634,4.174
United States,2020-03-21,24528,360,328239523,6516,83,0.007,0.0,10.108,5.886,8.782,4.419
United States,2020-03-22,33073,458,328239523,8545,98,0.01,0.0,10.406,6.127,9.053,4.585
United States,2020-03-23,43505,579,328239523,10432,121,0.013,0.0,10.681,6.361,9.253,4.796
United States,2020-03-24,53938,785,328239523,10433,206,0.016,0.0,10.896,6.666,9.253,5.328
United States,2020-03-25,68572,1054,328239523,14634,269,0.021,0.0,11.136,6.96,9.591,5.595
United States,2020-03-26,85570,1353,328239523,16998,299,0.026,0.0,11.357,7.21,9.741,5.7
United States,2020-03-27,102900,1770,328239523,17330,417,0.031,0.001,11.542,7.479,9.76,6.033
United States,2020-03-28,123966,2300,328239523,21066,530,0.038,0.001,11.728,7.741,9.955,6.273
United States,2020-03-29,142486,2718,328239523,18520,418,0.043,0.001,11.867,7.908,9.827,6.035
United States,2020-03-30,163955,3368,328239523,21469,650,0.05,0.001,12.007,8.122,9.974,6.477
United States,2020-03-31,188461,4304,328239523,24506,936,0.057,0.001,12.147,8.367,10.107,6.842
United States,2020-04-01,215391,5325,328239523,26930,1021,0.066,0.002,12.28,8.58,10.201,6.929
United States,2020-04-02,245108,6541,328239523,29717,1216,0.075,0.002,12.409,8.786,10.299,7.103
United States,2020-04-03,277426,7932,328239523,32318,1391,0.085,0.002,12.533,8.979,10.383,7.238
United States,2020-04-04,312525,9488,328239523,35099,1556,0.095,0.003,12.652,9.158,10.466,7.35
United States,2020-04-05,338141,10856,328239523,25616,1368,0.103,0.003,12.731,9.292,10.151,7.221
United States,2020-04-06,369056,12382,328239523,30915,1526,0.112,0.004,12.819,9.424,10.339,7.33
United States,2020-04-07,399394,14616,328239523,30338,2234,0.122,0.004,12.898,9.59,10.32,7.712
United States,2020-04-08,431213,16701,328239523,31819,2085,0.131,0.005,12.974,9.723,10.368,7.643
United States,2020-04-09,465909,18821,328239523,34696,2120,0.142,0.006,13.052,9.843,10.454,7.659
United States,2020-04-10,499381,21084,328239523,33472,2263,0.152,0.006,13.121,9.956,10.418,7.724
United States,2020-04-11,531106,23168,328239523,31725,2084,0.162,0.007,13.183,10.051,10.365,7.642
United States,2020-04-12,558249,24849,328239523,27143,1681,0.17,0.008,13.233,10.121,10.209,7.427
United States,2020-04-13,584018,26613,328239523,25769,1764,0.178,0.008,13.278,10.189,10.157,7.475
United States,2020-04-14,610709,29318,328239523,26691,2705,0.186,0.009,13.322,10.286,10.192,7.903
United States,2020-04-15,640742,32070,328239523,30033,2752,0.195,0.01,13.37,10.376,10.31,7.92
United States,2020-04-16,672355,34418,328239523,31613,2348,0.205,0.01,13.419,10.446,10.361,7.761
United States,2020-04-17,703862,36707,328239523,31507,2289,0.214,0.011,13.464,10.511,10.358,7.736
United States,2020-04-18,732262,38659,328239523,28400,1952,0.223,0.012,13.504,10.563,10.254,7.577
United States,2020-04-19,757596,40179,328239523,25334,1520,0.231,0.012,13.538,10.601,10.14,7.326
United States,2020-04-20,784926,42016,328239523,27330,1837,0.239,0.013,13.573,10.646,10.216,7.516
United States,2020-04-21,810434,44688,328239523,25508,2672,0.247,0.014,13.605,10.707,10.147,7.891
United States,2020-04-22,839266,47059,328239523,28832,2371,0.256,0.014,13.64,10.759,10.269,7.771
