Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths
07/29/2020,02/01/2020,07/25/2020,United States,All,Under 1 year,14.0
07/29/2020,02/01/2020,07/25/2020,United States,All,1-4 years,9.0
07/29/2020,02/01/2020,07/25/2020,United States,All,5-14 years,19.0
07/29/2020,02/01/2020,07/25/2020,United States,All,15-24 years,202.0
07/29/2020,02/01/2020,07/25/2020,United States,All,25-34 years,992.0
07/29/2020,02/01/2020,07/25/2020,United States,All,35-44 years,2554.0
07/29/2020,02/01/2020,07/25/2020,United States,All,45-54 years,6927.0
07/29/2020,02/01/2020,07/25/2020,United States,All,55-64 years,16648.0
07/29/2020,02/01/2020,07/25/2020,United States,All,65-74 years,28353.0
07/29/2020,02/01/2020,07/25/2020,United States,All,75-84 years,35806.0
07/29/2020,02/01/2020,07/25/2020,United States,All,85 years and over,44055.0
07/29/2020,02/01/2020,07/25/2020,United States,All,All Ages,135579.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,Under 1 year,8.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,1-4 years,4.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,5-14 years,15.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,15-24 years,129.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,25-34 years,675.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,35-44 years,1791.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,45-54 years,4814.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,55-64 years,10961.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,65-74 years,17576.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,75-84 years,19530.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,85 years and over,17181.0
07/29/2020,02/01/2020,07/25/2020,United States,Male,All ages,72684.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,Under 1 year,6.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,1-4 years,5.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,5-14 years,4.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,15-24 years,73.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,25-34 years,317.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,35-44 years,763.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,45-54 years,2113.0
07/29/2020,02/01/2020,07/25/2020,United States,Female,55-64 years,5687.0
