Date,State,StateABV,stateFIPS,Total Cases,Total Deaths,Population,New Cases,New Deaths,%Cases,%Deaths,log(Total Cases),log(Total Deaths),log(New Cases),log(New Deaths)
2020-01-22,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-23,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-24,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-25,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-26,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-27,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-28,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-29,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-30,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-01-31,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-01,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-02,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-03,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-04,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-05,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-06,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-07,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-08,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-09,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-10,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-11,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-12,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-13,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-14,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-15,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-16,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-17,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-18,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-19,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-20,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-21,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-22,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-23,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-24,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-25,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-26,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-27,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-28,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-02-29,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-01,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-02,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-03,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-04,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-05,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-06,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-07,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-08,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-09,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-10,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-11,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-12,Alabama,AL,1,0,0,4903185,0,0,0.0,0.0,-inf,-inf,-inf,-inf
2020-03-13,Alabama,AL,1,5,0,4903185,5,0,0.0,0.0,1.609,-inf,1.609,-inf
2020-03-14,Alabama,AL,1,11,0,4903185,6,0,0.0,0.0,2.398,-inf,1.792,-inf
2020-03-15,Alabama,AL,1,22,0,4903185,11,0,0.0,0.0,3.091,-inf,2.398,-inf
2020-03-16,Alabama,AL,1,29,0,4903185,7,0,0.001,0.0,3.367,-inf,1.946,-inf
2020-03-17,Alabama,AL,1,39,0,4903185,10,0,0.001,0.0,3.664,-inf,2.303,-inf
2020-03-18,Alabama,AL,1,51,0,4903185,12,0,0.001,0.0,3.932,-inf,2.485,-inf
2020-03-19,Alabama,AL,1,78,0,4903185,27,0,0.002,0.0,4.357,-inf,3.296,-inf
2020-03-20,Alabama,AL,1,106,0,4903185,28,0,0.002,0.0,4.663,-inf,3.332,-inf
2020-03-21,Alabama,AL,1,131,0,4903185,25,0,0.003,0.0,4.875,-inf,3.219,-inf
2020-03-22,Alabama,AL,1,167,0,4903185,36,0,0.003,0.0,5.118,-inf,3.584,-inf
2020-03-23,Alabama,AL,1,196,0,4903185,29,0,0.004,0.0,5.278,-inf,3.367,-inf
2020-03-24,Alabama,AL,1,242,0,4903185,46,0,0.005,0.0,5.489,-inf,3.829,-inf
2020-03-25,Alabama,AL,1,386,1,4903185,144,1,0.008,0.0,5.956,0.0,4.97,0.0
2020-03-26,Alabama,AL,1,531,1,4903185,145,0,0.011,0.0,6.275,0.0,4.977,-inf
2020-03-27,Alabama,AL,1,639,2,4903185,108,1,0.013,0.0,6.46,0.693,4.682,0.0
2020-03-28,Alabama,AL,1,717,3,4903185,78,1,0.015,0.0,6.575,1.099,4.357,0.0
2020-03-29,Alabama,AL,1,825,4,4903185,108,1,0.017,0.0,6.715,1.386,4.682,0.0
2020-03-30,Alabama,AL,1,941,6,4903185,116,2,0.019,0.0,6.847,1.792,4.754,0.693
2020-03-31,Alabama,AL,1,997,13,4903185,56,7,0.02,0.0,6.905,2.565,4.025,1.946
2020-04-01,Alabama,AL,1,1106,16,4903185,109,3,0.023,0.0,7.009,2.773,4.691,1.099
2020-04-02,Alabama,AL,1,1270,17,4903185,164,1,0.026,0.0,7.147,2.833,5.1,0.0
2020-04-03,Alabama,AL,1,1534,21,4903185,264,4,0.031,0.0,7.336,3.045,5.576,1.386
2020-04-04,Alabama,AL,1,1632,26,4903185,98,5,0.033,0.001,7.398,3.258,4.585,1.609
2020-04-05,Alabama,AL,1,1840,31,4903185,208,5,0.038,0.001,7.518,3.434,5.338,1.609
2020-04-06,Alabama,AL,1,2003,32,4903185,163,1,0.041,0.001,7.602,3.466,5.094,0.0
2020-04-07,Alabama,AL,1,2197,39,4903185,194,7,0.045,0.001,7.695,3.664,5.268,1.946
2020-04-08,Alabama,AL,1,2497,48,4903185,300,9,0.051,0.001,7.823,3.871,5.704,2.197
2020-04-09,Alabama,AL,1,2838,48,4903185,341,0,0.058,0.001,7.951,3.871,5.832,-inf
2020-04-10,Alabama,AL,1,3007,58,4903185,169,10,0.061,0.001,8.009,4.06,5.13,2.303
2020-04-11,Alabama,AL,1,3262,60,4903185,255,2,0.067,0.001,8.09,4.094,5.541,0.693
2020-04-12,Alabama,AL,1,3581,61,4903185,319,1,0.073,0.001,8.183,4.111,5.765,0.0
2020-04-13,Alabama,AL,1,3801,61,4903185,220,0,0.078,0.001,8.243,4.111,5.394,-inf
2020-04-14,Alabama,AL,1,3951,73,4903185,150,12,0.081,0.001,8.282,4.29,5.011,2.485
2020-04-15,Alabama,AL,1,4237,75,4903185,286,2,0.086,0.002,8.352,4.317,5.656,0.693
2020-04-16,Alabama,AL,1,4400,82,4903185,163,7,0.09,0.002,8.389,4.407,5.094,1.946
2020-04-17,Alabama,AL,1,4515,96,4903185,115,14,0.092,0.002,8.415,4.564,4.745,2.639
2020-04-18,Alabama,AL,1,4719,110,4903185,204,14,0.096,0.002,8.459,4.7,5.318,2.639
2020-04-19,Alabama,AL,1,4897,112,4903185,178,2,0.1,0.002,8.496,4.718,5.182,0.693
2020-04-20,Alabama,AL,1,5074,112,4903185,177,0,0.103,0.002,8.532,4.718,5.176,-inf
2020-04-21,Alabama,AL,1,5317,141,4903185,243,29,0.108,0.003,8.579,4.949,5.493,3.367
2020-04-22,Alabama,AL,1,5598,174,4903185,281,33,0.114,0.004,8.63,5.159,5.638,3.497
2020-04-23,Alabama,AL,1,5825,194,4903185,227,20,0.119,0.004,8.67,5.268,5.425,2.996
2020-04-24,Alabama,AL,1,6026,208,4903185,201,14,0.123,0.004,8.704,5.338,5.303,2.639
2020-04-25,Alabama,AL,1,6213,212,4903185,187,4,0.127,0.004,8.734,5.357,5.231,1.386
2020-04-26,Alabama,AL,1,6417,218,4903185,204,6,0.131,0.004,8.767,5.384,5.318,1.792
2020-04-27,Alabama,AL,1,6537,227,4903185,120,9,0.133,0.005,8.785,5.425,4.787,2.197
2020-04-28,Alabama,AL,1,6744,240,4903185,207,13,0.138,0.005,8.816,5.481,5.333,2.565
2020-04-29,Alabama,AL,1,6916,261,4903185,172,21,0.141,0.005,8.842,5.565,5.147,3.045
2020-04-30,Alabama,AL,1,7063,269,4903185,147,8,0.144,0.005,8.863,5.595,4.99,2.079
2020-05-01,Alabama,AL,1,7294,287,4903185,231,18,0.149,0.006,8.895,5.659,5.442,2.89
2020-05-02,Alabama,AL,1,7611,287,4903185,317,0,0.155,0.006,8.937,5.659,5.759,-inf
2020-05-03,Alabama,AL,1,7885,289,4903185,274,2,0.161,0.006,8.973,5.666,5.613,0.693
2020-05-04,Alabama,AL,1,8110,297,4903185,225,8,0.165,0.006,9.001,5.694,5.416,2.079
2020-05-05,Alabama,AL,1,8436,314,4903185,326,17,0.172,0.006,9.04,5.749,5.787,2.833
2020-05-06,Alabama,AL,1,8691,341,4903185,255,27,0.177,0.007,9.07,5.832,5.541,3.296
2020-05-07,Alabama,AL,1,9046,368,4903185,355,27,0.184,0.008,9.11,5.908,5.872,3.296
2020-05-08,Alabama,AL,1,9384,381,4903185,338,13,0.191,0.008,9.147,5.943,5.823,2.565
2020-05-09,Alabama,AL,1,9668,388,4903185,284,7,0.197,0.008,9.177,5.961,5.649,1.946
2020-05-10,Alabama,AL,1,9889,391,4903185,221,3,0.202,0.008,9.199,5.969,5.398,1.099
2020-05-11,Alabama,AL,1,10164,401,4903185,275,10,0.207,0.008,9.227,5.994,5.617,2.303
2020-05-12,Alabama,AL,1,10468,438,4903185,304,37,0.213,0.009,9.256,6.082,5.717,3.611
2020-05-13,Alabama,AL,1,10699,448,4903185,231,10,0.218,0.009,9.278,6.105,5.442,2.303
2020-05-14,Alabama,AL,1,11094,470,4903185,395,22,0.226,0.01,9.314,6.153,5.979,3.091
2020-05-15,Alabama,AL,1,11387,482,4903185,293,12,0.232,0.01,9.34,6.178,5.68,2.485
2020-05-16,Alabama,AL,1,11671,482,4903185,284,0,0.238,0.01,9.365,6.178,5.649,-inf
2020-05-17,Alabama,AL,1,11768,485,4903185,97,3,0.24,0.01,9.373,6.184,4.575,1.099
2020-05-18,Alabama,AL,1,12078,486,4903185,310,1,0.246,0.01,9.399,6.186,5.737,0.0
2020-05-19,Alabama,AL,1,12374,500,4903185,296,14,0.252,0.01,9.423,6.215,5.69,2.639
2020-05-20,Alabama,AL,1,13049,522,4903185,675,22,0.266,0.011,9.476,6.258,6.515,3.091
2020-05-21,Alabama,AL,1,13410,529,4903185,361,7,0.273,0.011,9.504,6.271,5.889,1.946
2020-05-22,Alabama,AL,1,13670,541,4903185,260,12,0.279,0.011,9.523,6.293,5.561,2.485
2020-05-23,Alabama,AL,1,14152,551,4903185,482,10,0.289,0.011,9.558,6.312,6.178,2.303
2020-05-24,Alabama,AL,1,14507,558,4903185,355,7,0.296,0.011,9.582,6.324,5.872,1.946
2020-05-25,Alabama,AL,1,15194,566,4903185,687,8,0.31,0.012,9.629,6.339,6.532,2.079
